# center_row center_col major_diameter minor_diameter angle_deg score
309.475 186.062 58.9369 46.1846 -60.6042 0.960903
255.3 152.574 55.3937 41.3758 -61.2498 0.946105
275.825 249.838 56.564 43.7696 -75.0735 0.955782
245.867 310.857 54.9068 40.7477 -85.5418 0.957573
224.853 212.93 53.423 40.2605 -72.6597 0.945927
219.756 368.971 53.601 38.0058 86.434 0.956056
208.029 123.587 52.3279 37.5054 -61.7687 0.943252
175.611 326.934 49.823 38.2044 -88.7226 0.927978
197.868 271.098 51.9246 37.7596 -83.7627 0.939997
198.441 423.273 51.0515 38.0253 82.0925 0.927079
180.133 180.931 50.1578 35.7518 -71.8873 0.950351
156.174 236.292 48.8379 34.6525 -79.5416 0.951908
165.791 97.8927 49.2709 33.591 -62.3815 0.945885
155.758 379.41 48.0452 35.3711 85.2408 0.95198
119 205.263 45.7569 32.2498 -78.2415 0.942346
140.752 152.279 47.7032 31.8851 -71.4812 0.942357
83.4502 305.005 43.6239 27.8107 88.7343 0.922568
135.605 289.803 46.6926 34.3678 -82.6165 0.94188
102.652 388.562 44.6474 28.6141 82.9991 0.935471
139.155 426.168 40.026 31.3626 72.52 0.795734
