# center_row center_col major_diameter minor_diameter angle_deg score
202.583 198.412 193.615 167.954 4.71622 0.939399
236.864 250.481 33.6747 28.4566 20.8669 0.936123
193.035 257.23 33.3647 29.1168 15.4073 0.946501
266.46 221.17 31.982 26.7915 24.0601 0.941989
152.351 238.825 32.7068 28.2091 6.92111 0.945658
232.963 180.095 30.6513 25.4384 19.1944 0.943552
141.635 167.092 30.5346 25.2464 0.619029 0.937785
171.237 142.244 29.4222 23.764 4.96021 0.941887
248.456 152.135 29.6296 24.0923 18.3838 0.933224
347.308 220.941 28.4162 25.3596 22.271 0.926318
211.111 136.809 29.2858 23.6675 10.3029 0.934476
365.703 180.39 27.4246 23.4179 39.7068 0.935065
334.654 184.013 28.1484 24.5319 18.911 0.918426
345.281 152.845 26.6013 22.5076 26.1883 0.874725
133.721 203.659 31.6064 26.9435 -5.40315 0.940137
186.712 220.868 32.9257 28.3688 7.76759 0.942044
168.27 188.128 32.1174 27.5969 6.37638 0.923362
270.057 184.115 30.3868 24.553 14.7473 0.944157
197.132 164.385 30.5276 25.0906 6.56127 0.937615
228.128 214.972 32.0448 27.7177 13.6651 0.943602
380.695 250.013 33.442 24.868 25.1555 0.813923
