# center_row center_col major_diameter minor_diameter angle_deg score
262.796 54.1356 90.3634 71.2694 -72.8647 0.942297
248.767 182.792 63.1323 46.8796 -85.6824 0.971706
289.407 366.172 57.6654 41.6664 69.0904 0.962952
338.016 281.207 64.8835 53.3779 74.7858 0.971311
179.054 352.507 66.9832 46.1989 70.6186 0.90707
120.766 200.361 70.1201 43.5474 88.8913 0.945572
76.9237 350.137 60.083 35.3401 76.2242 0.923386
95.9053 283.354 64.2049 38.6493 79.867 0.951304
153.192 108.006 61.4735 35.5993 -81.091 0.942983
211.806 275.712 57.1533 40.0776 83.6712 0.964795
40.6309 119.859 60.7502 27.7812 -88.8471 0.808177
