# center_row center_col major_diameter minor_diameter angle_deg score
54.0493 108.883 77.4298 37.904 -37.5363 0.853239
261.843 178.037 57.2004 34.6421 -14.2281 0.874468
55.9903 213.788 71.2401 68.9872 51.6029 0.794866
181.079 133.065 53.1201 32.6083 39.0424 0.850227
43.9289 69.936 72.5149 48.6719 31.5397 0.795325
222.993 102.984 73.4324 53.5158 22.1401 0.812462
259.919 234.027 56.6201 36.852 21.9679 0.886091
188.991 249.901 56.7528 47.023 -43.0965 0.862381
50.3348 184.337 66.811 33.4964 6.01752 0.80483
112.302 267.045 37.297 34.7658 38.4925 0.813183
238.143 262.541 47.8294 36.878 -69.2582 0.809336
140.803 266.957 38.4883 36.9529 75.9527 0.833326
204.949 183.062 56.7187 50.7762 -25.9182 0.80071
