# center_row center_col major_diameter minor_diameter angle_deg score
209.537 76.2394 74.2299 66.0887 4.76278 0.951162
219.51 256.268 55.7517 43.5491 -70.3849 0.913359
96.4201 236.297 64.0488 42.4922 -43.5398 0.940405
200.507 204.981 69.0357 49.7534 74.6535 0.92184
259.161 119.885 57.6983 38.0895 75.0163 0.906706
50.4899 258.054 77.9585 58.9064 -2.21413 0.914644
154.962 151.961 75.8151 64.4694 -44.4542 0.925159
28.516 111.21 75.9124 44.4204 70.5091 0.91173
155.37 44.3906 52.4723 34.3174 -20.718 0.879389
35.5832 233.281 66.4861 48.3624 28.5978 0.947778
220.539 132.832 49.1139 37.757 76.0758 0.879028
58.4631 46.1293 66.3346 59.9197 -36.5195 0.935538
77.4883 162.389 70.0817 49.9673 41.8928 0.919293
250.453 189.199 37.4426 29.6841 -81.9158 0.94372
115.095 58.5031 62.7883 35.5936 -33.5388 0.879939
273.286 161.687 69.0454 36.079 65.7387 0.907516
123.656 135.455 51.5451 36.2568 -35.469 0.877834
36.6715 49.5344 54.6084 47.8158 54.9625 0.932843
59.5187 111.048 68.1962 62.3968 -51.0674 0.904253
33.7716 158.928 39.9237 31.2066 -67.585 0.862092
168.412 207.031 35.5508 32.8007 -73.5574 0.798274
115.51 73.2736 37.8797 33.5176 35.4269 0.953875
136.411 188.513 35.7998 30.9738 30.5019 0.890709
184.706 237.441 42.8593 31.5451 -41.1801 0.880574
